Timestamp,Had you used PHOEBE 2 before the workshop?,Had you used any other binary modeling software?,"On a scale of 1 to 10,  how difficult did you consider the workshop material?","How did you feel about the balance between talks and tutorials, with 1 being too many talks and 5 being too many tutorials?","Did you have enough time to complete the exercises, with 1 meaning not enough time and 5 meaning too much time?","Did the tutorials adequately prepare you to answer the questions in the exercises, with 1 being not at all, and 5 being completely?","Rate the usefulness of the PHOEBE Workshop, where 1 is not at all useful and 5 is very useful.",How did you feel about the schedule and what could we do to improve it? ,Did we miss anything that you feel is fundamental/necessary for understanding and using PHOEBE 2?,Are there any talks/tutorials that you would like to have seen that we didn't include?,"How comfortable do you now feel using PHOEBE, where 1 is not at all comfortable and 10 is very comfortable?",Do you have a working PHOEBE Script?,What do you think most stands in your way from using phoebe for science?,Do you feel supported in your ongoing use of PHOEBE? ,"How likely is it that you will use PHOEBE 2 for your future work, where 1 is not at all likely, and 5 is very likely?",Do you know how to contact the PHOEBE Team if you are having difficulties using PHOEBE/wish to report a bug?,What compute resources do you have available to you?,Do you expect to use external resources like Amazon Web Services?,"Did the announcement accurately reflect the content of the workshop, where 1 is not at all and 5 is accurately?",What could we have done to better prepare you for the workshop?,Did you feel the workshop was useful?,What can we do to improve the workshop?,"How did you find the organization of the workshop, with 1 being poor and 5 being well?",Do you have any additional comments or suggestions for the PHOEBE Team?
9/13/2023 14:04:19,Yes,No,7,3,2,4,4,,,,6,I started it,,Yes,5,Yes,,,5,,Yes,,4,
9/13/2023 18:09:06,No,Wilson-Devinney,8,3,1,2,3,"Given that the topic is huge and thus the tool is complicated, the workshop can be extended a few days more. In this way, the fundamental information regarding binary stars can be covered before Phoebe.",I would say that the intro and coverage of some fundamentals were quite fast.,No.,5,I started it,,Yes,5,Yes,,No,5,Just one day can be dedicated to basic introductory information and then dive into modelling and playing the Phoebe.,Yes,,5,
9/14/2023 5:10:11,No,No,6,3,4,5,5,The schedule was good and it was always clear what the next talk/tutorial/program is.,"I think the the tutorial/talks built well on each other, I did not feel like something was missing.",,7,I started it,Lack of time to focus mainly on a project involving phoebe.,Yes,4,Yes,,No,5,,Yes,,5,
9/15/2023 14:54:25,No,No,6,2,5,5,5,"I felt tired during the afternoon tutorials, but mostly due to the hot weather. Fortunately, the important lectures were always scheduled in the morning. The coffee breaks were long enough to refresh ourselves between the lectures. So I think the schedule is fine as is.",,,7,No,"In most of the cases where I have encountered binaries, we either had a large sample of stars also including binaries, so case-by-case analysis was not feasible, or we had a too complicated multiple system. When a project including only one (simple) binary star comes up, I will happily use Phoebe.",Yes,4,Yes,"At our institute, we have multiple smaller servers (<100 cores, <100 GB RAM), but no large compute clusters.",No,5,"The preparation was really straightforward, I have never been to any other workshop with this few technical difficulties.",Yes,"One minor thing is that in many tutorials, it is hard for me to distinguish between built-in string keywords and user defined names. For example, in this line, I cannot tell whether 'ebai_mlp_est' is something I can freely change:
b.add_solver('estimator.ebai', ebai_method='mlp', solver='ebai_mlp_est')
For the tutorials, you could try to establish a specific convention for the user defined names, such as all caps, camel case or something easily recogniseable.",5,"It was hands-down the best summer school I have ever attended! The venue was perfect, the city was lovely, the lectures were awesome, and the sheer depth of your knowledge on the topic was frightening.
Also, Phoebe is not the kind of software one could master alone in an afternoon, so this workshop was really helpful for getting started. For me, even the complexity of the topic was unknown. It was really useful to see that a binary fitting software is not just a one-click tool that we can use on thousands of light curves without thinking.
So if possible, keep organizing these summer schools, I will recommend it to as many people as I can!"
9/22/2023 6:50:36,Yes,PHOEBE Legacy,5,3,2,4,5,"It is hard to say, because I have only several occasions of that kind of work shop, summer school. It was a good idea to have an extra hour on Monday in order to have the same version of Phoebe2.

There was a good balance between the talks and the tutorials. The amount of time for exercises was not enough, however. I know that the length of the workshop do not enable to deepen our knowledge/obtaining more experience for exploiting the capabilities of Phoebe2. On other hand, I could finish all the exercises (except for MCMC) at home.

Therefore I cannot suggest any advice how could you improve it. Perhaps with an additional week online, like one of the previous years.","I don't think, but I had the advantage self-learning a bit and using Phoebe2 before the workshop. The only thing I could think that the combinations of free parameters for fitting binary parameters. I mean, we could learn this year how could we flip the constraints technically. Naturally, there is a tutorial from a previous year covering this topic in question.",I think there isn't.,9,Almost,"A dedicated PC or server to run MCMC, but I am working on it. :'D",Yes,5,Yes,"Only my laptop (DELL Inspiron 7559, Intel Core i6700HQ 4 cores/8threads 3,5 GHz, 16GB RAM DDR3)
There is a possibility that my supervisor will update the OS of this computer, but this will not happen til I finish my PhD in the next 6 months (Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz, 16 GB RAM)",No,5,,Yes,,5,"Just a few comments:
 -> Although I gave 5 of 10 for the difficulty of workshop material, based on all the knowledge obtained during the workshop, we can solve the problems in the exercises. Just we need to take our time to figure it out. :) This is why I give 4 from 5 for covering the tutorials regarding solving the exercises.
 -> Sometimes there are surprising applications of PHOEBE2. At least for me. :) In one of my investigation, I had to check the LITE on pulsation signals occurring in an eccentric system I work on. At first, I wanted to use the experimental version of PHOEBE2 for direct simulations, but I was faced with a bug. So I calculated the orbit of the system and I utilized the proper coordinates to convert it to pulsation phase differences. It was fun to realize it. :)

Thank you very much again for organizing this wonderful Workshop. I hope to see you again. :)"
9/22/2023 11:07:46,No,No,6,4,3,4,5,The schedule was ok. Coffe breaks were in perfect time when our brains needed a break,No,No,8,I started it,The real data is more complex to modelate in comparison with the simulated data. Maybe in the tutorials we can use real observed data,Yes,5,Yes,I have a computer with AMD Ryzen 7 and RAM 8Gb ,No,5,,Yes,,5,PHOEBE Team are the best!
9/22/2023 11:11:33,No,Wilson-Devinney,7,3,4,5,5,It was quite good. Although maybe next time if this going to be warm then we could get more fans 😁 ,I do not think so,In the inverse problem where there was the mcmc method etc was shown for radial velocities due computational easiness I suppose. I'd love to see the light curve fitting as well.,7,I started it,"Being a novice in this field, it's the knowledge. Also Access to powerful computer clusters.",Yes,5,Yes,Right now we have a cluster of 41 computers and I think that's still not fast enough to get the results. More info on that after testing ,Maybe,5,,Yes,Maybe next time make it 2 weeks again? ,5,Thank you for this workshop. Had the Opportunity to learn a lot and make a lot of connections. Looking forward for the next session. 
9/22/2023 12:03:39,Yes,"PHOEBE Legacy, Wilson-Devinney, Nightfall",7,3,3,5,5,"The schedule seemed perfect to me. The talks were very useful for subsequently conducting the tutorials, and in my opinion, the right amount of content was covered to start modeling with PHOEBE.","During the workshop, we saw everything necessary to understand and use PHOEBE.","I was very satisfied with all the talks given during the workshop. In my opinion, no topic was missing.",7,I started it,"I believe I need to practice a bit more in order to apply PHOEBE to real-life cases. Nevertheless, it's a personal matter, and I feel that the workshop provided me with all the tools to do so.",Yes,5,Yes,I am using my notebook which has an 8-core processor. But I might have access to a computer cluster later.,No,5,"I believe that everything was done to make the workshop productive. From checking if it was installed correctly, to making past materials available.",Yes,"I wouldn't know how to improve the PHOEBE workshop; in my opinion, I found it very precise and with everything necessary to start or improve in the use of the software.",5,"I just wanted to thank you again for the opportunity. The PHOEBE team was very friendly and always available to answer questions. My previous interaction with the PHOEBE team was through GitHub, and I can say the same. The workshop was perfectly organized, and the team's concern for the participants was always evident. Thanks a lot. "
9/22/2023 15:33:09,Yes,No,8,3,3,4,5,"I understand why another week at home wasn't useful. Though, I would recommend handing out further exercises with a deadline of 2 weeks after the workshop, with the offer of consultation slots on the 3rd week. This way I think more people would use it later in their work.",,,8,Yes,The computational resources or the time it requires to run.,Yes,4,Yes,"Finally, I have access to large servers.",No,4,,Yes,,5,Thanks for this amazing experience. You have raised the bar quite high for further workshops!
9/22/2023 18:05:49,Yes,"PHOEBE Legacy, JKTEBOP",6,3,2,4,5,,,,7,Almost,,Yes,4,Yes,,No,5,,Yes,,5,
